Topic,Count,Name,Representation,Representative_Docs
483,47,483_people left_left ukraine_left_population left,"['people left', 'left ukraine', 'left', 'population left', 'million people', 'ukraine beginning', 'beginning war', 'million young', 'population recover', 'recover war']","['‼️#UN: more than 3.5 million people have left #Ukraine since the beginning of the war', 'More than eight million people have left #Ukraine since the beginning of the war - the #UN.', '#UN: more than 3.5 million people have left #Ukraine since the beginning of the war']"
484,47,484_ethiopia mozambique_mozambique_violations children_ukraine ethiopia,"['ethiopia mozambique', 'mozambique', 'violations children', 'ukraine ethiopia', 'caac', 'mozambique ukraine', 'probe killing', 'annual report', 'monitor ukraine', 'grave violations']","['UN to probe killing of children in Ukraine, Ethiopia, Mozambique #Ukraine #Russia #News', ""'UN to probe killing of children in Ukraine, Ethiopia, Mozambique #Ukraine"", '#UN to probe killing of #children in #Ukraine, #Ethiopia, #Mozambique']"
485,47,485_bilateral meeting_truss_wh_president biden,"['bilateral meeting', 'truss', 'wh', 'president biden', 'nyc', 'bilateral', 'biden', 'biden addresses', 'hold bilateral', 'meeting uk']","[""JUST IN #Biden will have a bilateral meeting on September 21 with the #UK's new prime minister, #LizTruss, in NYC, per WH public week-ahead guidance. Biden will also give a speech that day in #NYC at the UN General Assembly. #Truss #UNGA"", ""#Biden has 5 things on his public sched Wed, per WH, incl.: • Speech before #UnitedNations General Assembly in #NYC at 10:35a EDT • Bilateral meeting w/ UN Sec-Gen #AntónioGuterres in NYC at 11:45a • Bilateral meeting w/ #UK's new PM, #LizTruss, in NYC at 1:15p #UNGA77 #UNGA"", 'JUST IN (via WH press pool) #Biden will have a bilateral meeting w/ the #UK\'s new prime minister, #LizTruss, next week in NYC, per WH: ""[He] will hold a bilateral meeting w/ Prime Minister #Truss on Wednesday in New York when both are attending [the UN General Assembly]."" #UNGA']"
486,47,486_sexual_sexual violence_violence ukraine_violence,"['sexual', 'sexual violence', 'violence ukraine', 'violence', 'protection response', 'urgently investigated', 'services local', 'bolstering protection', 'local women', 'rapes sexual']","['UN_Women: We condemn the rapes and sexual violence in #Ukraine. They must be urgently investigated. The perpetrators must be held accountable. The is bolstering protection and response services together with local women organizations. The violence …', 'UN: RT : We condemn the rapes and sexual violence in #Ukraine. They must be urgently investigated. The perpetrators must be held accountable. The is bolstering protection and response services together with local women organizations. The v…', ': RT : We condemn the rapes and sexual violence in #Ukraine. They must be urgently investigated. The perpetrators must be held accountable. The is bolstering protection and response services together with local women organizations. The …']"
487,47,487_syria rwanda_rwanda sudan_assembly holding_session 40,"['syria rwanda', 'rwanda sudan', 'assembly holding', 'session 40', 'libya yemen', 'holding emergency', 'afghanistan libya', '40 years', 'shocked learn', 'years ukraine']","['I am shocked to learn that the UN General Assembly is holding an emergency session after 40 years on Ukraine. 😮 😮, none held over..Iraq, Afghanistan, Libya, Yemen, Syria, Rwanda, Sudan, etc, millions died. Unbelievable #Shame #UNGA #nuclearwar #UkraineRussiaWar', 'I am shocked to learn that the UN General Assembly is holding an emergency session after 40 years on Ukraine. 😮 😮, none held over..Iraq, Afghanistan, Libya, Yemen, Syria, Rwanda, Sudan, etc, millions died. Unbelievable. #IStandWithPutin #Kherson #Kharkiv', 'I am shocked to learn that the UN General Assembly is holding an emergency session after 40 years on Ukraine,none held over..Iraq, Afghanistan, Libya, Yemen, Syria, Rwanda, Sudan etc millions died. Unbelievable Is it because they have different race/beliefs? #UN #RussiaUkraine']"
488,47,488_ru_hate russian_cities destroyed_gary,"['ru', 'hate russian', 'cities destroyed', 'gary', 'obsessed', 'destroys', 'ethnic russians', 'innocent ukrainian', 'kills', 'liberals']","['Why do Ukraine have to fight this evil ALONE? MORAL RELATIVISM (=MORAL IDIOCY) KILLS #RussiaIsATerroristState #RussianWarCrimesInUkraine #Kherson #KakhovkaHPP #Kherson #Zaporizhzhya', 'War in Ukraine is becoming more horrific russia is bombing cities with innocent people russia kills children, destroys homes, hospitals To stop the war in Ukraine and save Europe from war sanctions must be widened Please close European ports for russian ships! #StandWithUkraine', 'Shame Waters for pushing RU fascist propaganda! It’s a genocide in #Ukraine and we shall seek Justice, not any “ceasefire” as RU genociders are being defeated. Death camps, tortured children, cities destroyed. All this is Putin and Russian neo-imperialism. Shame!']"
489,47,489_animals_cats_animals russiaisaterroriststate_animal,"['animals', 'cats', 'animals russiaisaterroriststate', 'animal', 'cat', 'animals don', 'fife', 'animalcruelty', 'worse animals', 'kitty']","['Meet, this is ""Ivan-Russian. This attitude towards animals is normal among Russians,so what can we say about how they treat people Ukrainians. Even in the animal kingdom, a predator kills its prey before eating. #animals #nature #russia #ukraine #natureprotection #inhumanity #UN', 'Russians army (and many Russians) are animals! Although that’s not fair to animals, they aren’t vile and disgusting in their pure mindless behaviour. 🇺🇦.🤘🤘. 🤮🇷🇺 #Ukraine #Russia #RussianArmy #RussiaIsATerroristState #Russians #Ukraina #USA #European', 'These f*clingy animals!!! #RussianWarCrimes']"
490,47,490_russianwarcrimes russiaisaterroriststate_russiaisaterroriststate russianwarcrimes_hate hate_russiaisaterroriststate russianwarcriminals,"['russianwarcrimes russiaisaterroriststate', 'russiaisaterroriststate russianwarcrimes', 'hate hate', 'russiaisaterroriststate russianwarcriminals', 'russianwarcrimes', 'russianwarcriminals', 'hate', 'russianwarcrimes shame', 'russiaisaterroriststate', 'hatespeech']","[""#RussiaIsATerroristState #RussianWarCriminals And that includes 🇷🇺'n propagandists &amp; pundits!"", '#russianWarCrimes again because #russiaIsATerroristState #KickrussianOutofTheUN to return the sense', 'do your job! #RussianWarCrimes #russiaisaterroriststate']"
491,47,491_war gov_gov accountable_tigraygenocide address_crimes allegedly,"['war gov', 'gov accountable', 'tigraygenocide address', 'crimes allegedly', 'ichree set', 'committed parties', 'allegedly committed', 'set investigate', 'parties tigray', 'investigate crimes']","['The ICHREE was set up by the to investigate crimes allegedly committed by all parties to the Tigray war."" At 🇪🇹|n gov\'t is against it b/c they are accountable of #TigrayGenocide. So address #Justice4Tigray,', '""The ICHREE was set up by the to investigate crimes allegedly committed by all parties to the Tigray war."" At 🇪🇹|n gov\'t is against it b/c they are accountable of #TigrayGenocide. So address #Justice4Tigray .', 'Z ""ICHREE was set up by the to investigate crimes allegedly committed by all parties to the Tigray war."" At 🇪🇹|n gov\'t is against it b/c they are accountable of #TigrayGenocide So address #Justice4Tigray']"
492,47,492_bangladesh_ukraine bangladesh_sheikhhasina_dhaka,"['bangladesh', 'ukraine bangladesh', 'sheikhhasina', 'dhaka', 'bangladesh abstained', 'hpm', 'hpm sheikhhasina', 'votes resolution', 'tbda', 'terms dealing']","['#Bangladesh votes for #UN resolution against #Russia', 'Bangladesh votes for UN resolution demanding halt to Russia’s war in Ukraine - #bangladesh #ukraine #russia #moscow #dhaka #kyiv #war', '🇧🇩 Bangladesh abstained from voting on a resolution raised in the United Nations General Assembly to hold Russia accountable for violating international law by invading Ukraine. #Bangladesh #NewsUpdates #Russia #bangladesh #mostliked']"
493,46,493_berlusconi_berlusconi berlusconi_pres biden_silvio berlusconi,"['berlusconi', 'berlusconi berlusconi', 'pres biden', 'silvio berlusconi', 'silvio', 'thefts', 'pres', 'mega', 'bout', 'good pres']","[""WELL DONE TO GOOD US PRES #BIDEN, TO SHOW 0 FEARS ABOUT THREATS COMING FROM BASTARD MEGA ASSASSINS #PUTIN &amp; SILVIO BERLUSCONI #BERLUSCONI BERLUSCONI WHO WANT A WEAPONS-FREE #UKRAINE, CONSEQUENLTY, TOTALLY UNABLE TO DEFEND! THIS HITLERIAN #PUTIN'S NAZI卐RUSSIA MUST BE ANNIHILATED!"", ""TWEET FOR GOOD US PRES BIDEN, NATO, UN, EU: THIS IS THE MAP THAT KILLERS ANTONIO #TAJANI, PIERSILVIO BERLUSCONI &amp; SILVIO #BERLUSCONI PUBLISHED BOUT HEROIC UKRAINE! IT APPROVES ALL THEFTS OF TERRITORY DONE BY BUTCHER #PUTIN! THEY'RE NAZI卐RUSSIAN SPIES WANTING TO KILL ATLANTICISM!"", ""TWEET FOR GOOD US PRES BIDEN, UN, NATO, EU: THIS IS THE MAP THAT KILLERS ANTONIO #TAJANI, PIERSILVIO BERLUSCONI &amp; SILVIO #BERLUSCONI PUBLISHED BOUT HEROIC UKRAINE! IT APPROVES ALL THEFTS OF TERRITORY DONE BY BUTCHER #PUTIN! THEY'RE NAZI卐RUSSIAN SPIES WANTING TO KILL ATLANTICISM!""]"
494,46,494_sick fascism_infanticide_civilians infanticide_infanticide sick,"['sick fascism', 'infanticide', 'civilians infanticide', 'infanticide sick', 'women civilians', 'murder women', 'anti air', 'mariupol standupforukraine', 'fascism ua', 'systems bucha']","['Sick MURDER OF WOMEN, CIVILIANS #INFANTICIDE IS SICK #FASCISM! GIVE UA FREEDOM FIGHTERS JETS, ANTI AIR SYSTEMS! #Bucha #StandupForUkraine', 'True MURDER OF WOMEN, CIVILIANS #INFANTICIDE IS SICK #FASCISM! GIVE UA FREEDOM FIGHTERS JETS, ANTI AIR SYSTEMS! #Bucha #Mariupol #StandupForUkraine', 'MURDER OF WOMEN, CIVILIANS #INFANTICIDE IS SICK #FASCISM! GIVE UA FREEDOM FIGHTERS JETS, ANTI AIR SYSTEMS! #Bucha #Mariupol #StandupForUkraine']"
495,46,495_glory_slavaukraini_slavaukraïni_slavaukraïni glory,"['glory', 'slavaukraini', 'slavaukraïni', 'slavaukraïni glory', 'hero', 'heroes', 'slavaukraini glory', 'glory ukraine', 'acknowledging', 'norman schwarzkopf']","['18/? #SlavaUkraini Glory to Ukraine #glory to and glory to the brave free people standing against tyranny like they should. Unlike . ( )', '#StandWithUkraine #Ukraine 🇺🇦🕊💙🌻 #PrayForUkraine 🙏 “It doesn’t take a hero to order men into battle. It takes a hero to be one of those men who goes into battle.” “When placed in command, take charge.” ~Norman Schwarzkopf~', '#StandWithUkraine 🇺🇦💙#Ukraine #GenocideOfUkrainians “It doesn’t take a hero to order men into battle. It takes a hero to be one of those men who goes into battle.” “When placed in command, take charge.” ~Norman Schwarzkopf~']"
496,46,496_digital_digital transformation_transformation_public services,"['digital', 'digital transformation', 'transformation', 'public services', 'digitalization', 'recovery', 'government ukraine', 'urgently assisting', 'digital support', 'services']","['Digital Regions Week in 🇺🇦#Ukraine took place from 1-11 Nov, with #digital transformation forums organized in 8 regions. &amp; supported 3 of them. Read more about this exciting initiative of the Digital Transformation Ministry :', '. is urgently assisting the government of #Ukraine with digital support services for refugees and displaced people. The online system allows people access their vital documents and to register for accommodation. ➡️', 'Millions of people are currently on the move, while others cannot leave their homes in #Ukraine. With support from Sweden, is urgently assisting the government of Ukraine with digital support services for refugees and displaced people: #DigitalUNDP']"
497,46,497_end mandate_int bodies_countries allowed_warns countries,"['end mandate', 'int bodies', 'countries allowed', 'warns countries', 'amp resolutions', 'precedent set', 'license', 'dangerous precedent', 'bodies', 'mandate']","['.. warns, if countries are allowed to end mandate of int\'l bodies through lobbying &amp; resolutions, a dangerous precedent will be set that will give countries the license to end mandate of bodies.."" So address #Justice4Tigray', '""... warns, if countries are allowed to end mandate of int\'l bodies through lobbying &amp; resolutions, a dangerous precedent will be set that will give countries the license to end mandate of bodies.."" 🗣So address #Justice4Tigray', '... warns, if countries are allowed to end mandate of int\'l bodies through lobbying &amp; resolutions, a dangerous precedent will be set that will give countries the license to end mandate of bodies.."" So address #Justice4Tigray']"
498,46,498_depleted uranium_uranium_depleted_depleteduranium,"['depleted uranium', 'uranium', 'depleted', 'depleteduranium', 'uranium ukraine', 'du', 'uranium shells', 'shells', 'shells ukraine', 'containing']","['""In its time, the UN carried out a research into the consequences of the use of such munitions (depleted Uranium) by #NATO forces in Yugoslavia. British depleted uranium shells in Ukraine will lead to serious delayed consequences"" - Alexander Uvarov, Director- AtomInfo-Center,', '6. #BBC Joke 5 ""The chemical toxicity of depleted uranium is considered a more significant issue than the possible impacts of its radioactivity,"" it says. residues can further increase the anxiety of local populations"". So ""Depleted uranium shells are safe."" #UN #UK #RUSSIA', '5. #BBC Joke 4 ""The United Nations Scientific Committee on the Effects of Atomic Radiation (UNSCEAR) found no significant poisoning was caused by exposure to depleted uranium."" So ""Depleted uranium shells are safe."" #UN #UK #RUSSIA #UKRAINE']"
499,46,499_berlusconi_capitolhill_amp huge_heavily punished,"['berlusconi', 'capitolhill', 'amp huge', 'heavily punished', 'nazi卐butcher', 'frauds', 'silvioberlusconi', 'make end', 'punished amp', 'nazi卐butcher putin']","[""TO END: NAZI卐BUTCHER #PUTIN IS NOT THE ONLY 1 WHO SHOULD GET A LIFE SENTENCE! ALSO WHO'S MANIPULATING GENOCIDAL PUTIN LIKE A PUPPET, SHOULD MAKE SAME END: TRUMP! FASCIST MEGA KILLER #TRUMP ORGANISED ASSAULT TO #CAPITOLHILL, SHOULD HEAVILY BE PUNISHED FOR THAT &amp; HIS HUGE FRAUDS!"", ""TO END: NAZI卐BUTCHER #PUTIN'S NOT THE ONLY 1 WHO SHOULD GET A LIFE SENTENCE! ALSO WHO'S MANIPULATING GENOCIDAL PUTIN LIKE A PUPPET, SHOULD MAKE SAME END: TRUMP! HITLERIAN MEGA KILLER #TRUMP ORGANISED ASSAULT TO #CAPITOLHILL, SHOULD HEAVILY BE PUNISHED FOR THAT &amp; HIS HUGE FRAUDS!"", ""NAZI卐BUTCHER #PUTIN IS NOT THE ONLY 1 WHO SHOULD DIE IN A JAIL FOR WAR CRIMES! ALSO WHO'S MANIPULATING NAZI卐PUTIN LIKE A PUPPET, SHOULD MAKE SAME END: #BERLUSCONI &amp; TRUMP! HITLERIAN #TRUMP ORGANISED ASSAULT TO #CAPITOLHILL, SHOULD HEAVILY BE PUNISHED FOR THAT &amp; HIS HUGE FRAUDS!""]"
